predictor_family,source,trajectory_metric,spearman_rho_vs_human_SPR,spearman_p_scipy,spearman_p_exact_perm7_shuffle_model_across_cells,kendall_tau_vs_human_SPR,kendall_p,pearson_r_vs_human_SPR,interpretation_notes
SEDD_trajectory_signed_integral_hypothesis_C,bidirectional,entropy,1.0,0.0,0.0003968253968253968,1.0,0.0003968253968253968,0.9510410677101124,"Integrated cond_a−cond_b from Hypothesis C; `surprisal` here names a trajectory-derived score, not GPT-2."
SEDD_trajectory_signed_integral_hypothesis_C,critical_position,p_semantic_neighbors,-0.7857142857142859,0.03623846267982714,0.04801587301587302,-0.6190476190476191,0.06904761904761905,-0.48679722070882275,"Integrated cond_a−cond_b from Hypothesis C; `surprisal` here names a trajectory-derived score, not GPT-2."
SEDD_trajectory_signed_integral_hypothesis_C,bidirectional,p_syntactic_group,0.6785714285714287,0.0937502539598313,0.10952380952380952,0.5238095238095238,0.1361111111111111,0.5556133858391036,"Integrated cond_a−cond_b from Hypothesis C; `surprisal` here names a trajectory-derived score, not GPT-2."
SEDD_trajectory_signed_integral_hypothesis_C,bidirectional,p_semantic_neighbors,-0.3214285714285715,0.4820720382996776,0.4976190476190476,-0.14285714285714288,0.7726190476190476,-0.44993265141607897,"Integrated cond_a−cond_b from Hypothesis C; `surprisal` here names a trajectory-derived score, not GPT-2."
SEDD_trajectory_signed_integral_hypothesis_C,bidirectional,sampler_entropy,0.3214285714285715,0.4820720382996776,0.4976190476190476,0.23809523809523814,0.5619047619047619,0.3645677412200911,"Integrated cond_a−cond_b from Hypothesis C; `surprisal` here names a trajectory-derived score, not GPT-2."
SEDD_trajectory_signed_integral_hypothesis_C,critical_position,sampler_entropy,0.28571428571428575,0.5345092286010408,0.555952380952381,0.23809523809523814,0.5619047619047619,0.37681343875818707,"Integrated cond_a−cond_b from Hypothesis C; `surprisal` here names a trajectory-derived score, not GPT-2."
SEDD_trajectory_signed_integral_hypothesis_C,bidirectional,surprisal,0.14285714285714288,0.7599453002180928,0.7825396825396825,0.04761904761904762,1.0,0.35364152345525296,"Integrated cond_a−cond_b from Hypothesis C; `surprisal` here names a trajectory-derived score, not GPT-2."
SEDD_trajectory_signed_integral_hypothesis_C,critical_position,entropy,0.14285714285714288,0.7599453002180928,0.7825396825396825,0.04761904761904762,1.0,0.2773467926560498,"Integrated cond_a−cond_b from Hypothesis C; `surprisal` here names a trajectory-derived score, not GPT-2."
GPT2_word_surprisal_roi_pooled_delta,,,0.03571428571428572,0.9394082054712856,0.9634920634920635,-0.04761904761904762,1.0,0.45346547206423793,GPT-2 token surprisals (sapbenchmark) at stimulus ROI; not the SEDD schedule 'surprisal' trajectory column.
SEDD_trajectory_signed_integral_hypothesis_C,critical_position,p_syntactic_group,0.0,1.0,1.0,-0.04761904761904762,1.0,0.38701881861570603,"Integrated cond_a−cond_b from Hypothesis C; `surprisal` here names a trajectory-derived score, not GPT-2."
SEDD_trajectory_signed_integral_hypothesis_C,critical_position,surprisal,0.0,1.0,1.0,-0.04761904761904762,1.0,0.29994048697964765,"Integrated cond_a−cond_b from Hypothesis C; `surprisal` here names a trajectory-derived score, not GPT-2."
